timestamp,vib_x,vib_y,vib_z,vib_total,roll_deg,pitch_deg,yaw_deg,servo1,servo2,servo3,servo4,servo5,servo6
1782422215.867,0.04148,0.03328,0.05622,0.07738,0,0,0,1500,1500,1500,1500,1500,1500
1782422216.202,0.04431,0.05333,0.05325,0.08743,-0.21,-1.53,162.23,1500,1500,1500,1500,1500,1500
1782422216.533,0.03678,0.03143,0.05088,0.07021,-0.21,-1.52,162.22,1500,1500,1500,1500,1500,1500
1782422216.864,0.04096,0.04047,0.04622,0.07384,-0.21,-1.52,162.23,1500,1500,1500,1500,1500,1500
1782422217.202,0.04543,0.04905,0.05112,0.08416,-0.21,-1.52,162.23,1500,1500,1500,1500,1500,1500
1782422217.533,0.03808,0.0295,0.04588,0.06652,-0.21,-1.52,162.23,1500,1500,1500,1500,1500,1500
1782422217.864,0.0391,0.03756,0.04793,0.07237,-0.21,-1.52,162.23,1500,1500,1500,1500,1500,1500
1782422218.203,0.04323,0.03234,0.0443,0.06984,-0.21,-1.51,162.23,1100,1500,1500,1500,1500,1500
1782422218.528,0.02831,0.0339,0.03761,0.05801,-0.21,-1.51,162.23,1100,1500,1500,1500,1500,1500
1782422218.862,0.03748,0.03949,0.04177,0.06862,-0.21,-1.51,162.23,1100,1500,1500,1500,1500,1500
1782422219.203,0.03933,0.02996,0.04068,0.06403,-0.21,-1.51,162.23,1100,1500,1500,1500,1500,1500
1782422219.53,0.03035,0.02769,0.03032,0.05107,-0.2,-1.51,162.23,1100,1500,1500,1500,1500,1500
1782422219.862,0.03879,0.03413,0.03241,0.06099,-0.21,-1.51,162.22,1100,1500,1500,1500,1500,1500
1782422220.201,0.0215,0.02339,0.03344,0.04613,-0.21,-1.51,162.23,1100,1500,1500,1500,1500,1500
1782422220.527,0.02988,0.02408,0.03237,0.0502,-0.21,-1.51,162.24,1100,1500,1500,1500,1500,1500
1782422220.862,0.02266,0.02314,0.03495,0.04765,-0.21,-1.51,162.24,1100,1500,1500,1500,1500,1500
1782422221.204,0.02559,0.02431,0.0343,0.04922,-0.21,-1.5,162.25,1100,1500,1500,1500,1500,1500
1782422221.527,0.04383,0.04083,0.0348,0.06928,-0.21,-1.5,162.25,1100,1500,1500,1500,1500,1500
1782422221.859,0.02882,0.02477,0.03144,0.04933,-0.21,-1.5,162.26,1100,1500,1500,1500,1500,1500
1782422222.203,0.02926,0.02675,0.03163,0.05072,-0.21,-1.5,162.26,1100,1500,1500,1500,1500,1500
1782422222.527,0.03436,0.03196,0.03493,0.0585,-0.21,-1.49,162.27,1100,1500,1500,1500,1500,1500
1782422222.859,0.03063,0.02244,0.03214,0.04975,-0.21,-1.49,162.28,1100,1500,1500,1500,1500,1500
1782422223.198,0.02477,0.02632,0.03921,0.05332,-0.2,-1.48,162.29,1100,1500,1500,1500,1500,1500
1782422223.524,0.02694,0.01934,0.03344,0.0471,-0.2,-1.48,162.29,1100,1500,1500,1500,1500,1500
1782422223.857,0.02082,0.02108,0.03793,0.04813,-0.19,-1.48,162.3,1100,1500,1500,1500,1500,1500
1782422224.201,0.02227,0.0198,0.03272,0.04426,-0.19,-1.48,162.3,1100,1500,1500,1500,1500,1500
1782422224.523,0.02284,0.02288,0.03373,0.04672,-0.2,-1.48,162.3,1100,1500,1500,1500,1500,1500
1782422224.857,0.02211,0.02074,0.03484,0.04618,-0.2,-1.48,162.31,1100,1500,1500,1500,1500,1500
1782422225.201,0.02219,0.02431,0.02944,0.04416,-0.2,-1.48,162.31,1100,1500,1500,1500,1500,1500
1782422225.522,0.02455,0.02174,0.0312,0.04527,-0.2,-1.48,162.32,1100,1500,1500,1500,1500,1500
1782422225.856,0.02186,0.02196,0.03358,0.04569,-0.19,-1.48,162.32,1100,1500,1500,1500,1500,1500
1782422226.199,0.02359,0.0269,0.03364,0.04911,-0.19,-1.47,162.32,1100,1500,1500,1500,1500,1500
1782422226.522,0.02396,0.0199,0.03147,0.04428,-0.19,-1.48,162.32,1100,1500,1500,1500,1500,1500
1782422226.854,0.02259,0.02358,0.0358,0.04845,-0.19,-1.48,162.32,1100,1500,1500,1500,1500,1500
1782422227.201,0.02002,0.02142,0.03364,0.04462,-0.18,-1.48,162.32,1100,1500,1500,1500,1500,1500
1782422227.521,0.02205,0.02219,0.03374,0.04601,-0.18,-1.48,162.33,1100,1500,1500,1500,1500,1500
1782422227.854,0.03438,0.0312,0.03227,0.05654,-0.18,-1.48,162.33,1100,1500,1500,1500,1500,1500
1782422228.201,0.02134,0.02228,0.03791,0.04888,-0.18,-1.48,162.33,1100,1500,1500,1500,1500,1500
1782422228.52,0.02399,0.02064,0.03321,0.04588,-0.18,-1.47,162.33,1100,1500,1500,1500,1500,1500
1782422228.851,0.01964,0.02355,0.02983,0.04278,-0.18,-1.48,162.33,1100,1500,1500,1500,1500,1500
1782422229.187,0.02273,0.01975,0.03229,0.04415,-0.18,-1.47,162.34,1100,1500,1500,1500,1500,1500
1782422229.52,0.02369,0.02012,0.02975,0.04302,-0.17,-1.47,162.34,1100,1500,1500,1500,1500,1500
1782422229.851,0.01893,0.02047,0.03138,0.04198,-0.17,-1.47,162.34,1100,1500,1500,1500,1500,1500
1782422230.188,0.03345,0.02528,0.03428,0.05417,-0.17,-1.47,162.34,1100,1500,1500,1500,1500,1500
1782422230.518,0.03631,0.03351,0.03047,0.05805,-0.17,-1.47,162.35,1100,1500,1500,1500,1500,1500
1782422230.851,0.02393,0.02204,0.0339,0.04699,-0.17,-1.47,162.35,1100,1500,1500,1500,1500,1500
1782422231.182,0.02215,0.0233,0.03006,0.04402,-0.17,-1.47,162.35,1100,1500,1500,1500,1500,1500
1782422231.518,0.02497,0.01961,0.03046,0.04399,-0.18,-1.47,162.35,1100,1500,1500,1500,1500,1500
1782422231.847,0.02081,0.02218,0.03369,0.04539,-0.17,-1.47,162.35,1100,1500,1500,1500,1500,1500
1782422232.186,0.02362,0.02001,0.03428,0.04619,-0.18,-1.47,162.36,1100,1500,1500,1500,1500,1500
1782422232.517,0.02335,0.02113,0.03097,0.04417,-0.18,-1.47,162.36,1100,1500,1500,1500,1500,1500
1782422232.847,0.0224,0.02109,0.03377,0.04569,-0.18,-1.47,162.36,1100,1500,1500,1500,1500,1500
1782422233.183,0.02523,0.02487,0.03237,0.04799,-0.18,-1.47,162.36,1100,1500,1500,1500,1500,1500
1782422233.512,0.02317,0.02091,0.03146,0.04432,-0.18,-1.47,162.36,1100,1500,1500,1500,1500,1500
1782422233.846,0.03379,0.03705,0.0376,0.06268,-0.18,-1.47,162.36,1100,1500,1500,1500,1500,1500
