time,roll,pitch,yaw
1782404024.1100523,-0.003608135972172022,-0.026064518839120865,3.0119502544403076
1782404024.2325747,-0.003477785736322403,-0.02611708454787731,3.0119810104370117
1782404024.310006,-0.0034532747231423855,-0.026125658303499222,3.0119762420654297
1782404024.4099767,-0.0034228796139359474,-0.026150915771722794,3.012056350708008
1782404024.5100424,-0.0034244502894580364,-0.02616085112094879,3.012129783630371
1782404024.6099992,-0.00345346936956048,-0.026170004159212112,3.0121593475341797
1782404024.7138815,-0.00346295814961195,-0.02620597369968891,3.0121421813964844
1782404024.8099072,-0.0035550137981772423,-0.026214782148599625,3.011728048324585
1782404024.9099176,-0.0035439571365714073,-0.02620791271328926,3.011698007583618
1782404025.0099509,-0.0036162002943456173,-0.0262198057025671,3.011847972869873
1782404025.109905,-0.0036688330583274364,-0.026231085881590843,3.011892795562744
1782404025.2285087,-0.003540806472301483,-0.026273921132087708,3.0119564533233643
1782404025.309906,-0.0035220091231167316,-0.026283705607056618,3.0120506286621094
1782404025.4099505,-0.003469228744506836,-0.02627165988087654,3.012131452560425
1782404025.509873,-0.0034456606954336166,-0.026220306754112244,3.012171983718872
1782404025.6098635,-0.003425136674195528,-0.026396846398711205,3.011418581008911
1782404025.7174404,-0.0033328840509057045,-0.026224419474601746,3.011267900466919
1782404025.809904,-0.0033628158271312714,-0.026257574558258057,3.010598659515381
1782404025.9098775,-0.003310589585453272,-0.026320168748497963,3.0105247497558594
1782404026.0098305,-0.0033155730925500393,-0.026487892493605614,3.0087075233459473
1782404026.109832,-0.003284808248281479,-0.02651623636484146,3.0085034370422363
1782404026.2137702,-0.0032697292044758797,-0.026484740898013115,3.008591890335083
1782404026.3099008,-0.003282767254859209,-0.026476377621293068,3.008643388748169
1782404026.4097843,-0.0032545048743486404,-0.0264795683324337,3.0087778568267822
1782404026.5097833,-0.003259852062910795,-0.02647368423640728,3.008845090866089
1782404026.6097794,-0.003255988471210003,-0.026462478563189507,3.0088794231414795
1782404026.7199717,0.0017773391446098685,-0.024841921404004097,3.0097687244415283
1782404026.809772,0.005706871394068003,-0.024224810302257538,3.0610549449920654
