timestamp,vib_x,vib_y,vib_z,vib_total,roll_deg,pitch_deg,yaw_deg,servo1,servo2,servo3,servo4,servo5,servo6
1782419624.353,0.02835,0.02567,0.03022,0.04874,0.01,-1.4,-169.46,1500,1500,1500,1500,1500,1500
1782419624.686,0.02008,0.02129,0.03175,0.04318,0.01,-1.39,-169.46,1900,1500,1500,1500,1500,1500
1782419625.018,0.02195,0.02308,0.04204,0.05274,0.0,-1.39,-169.45,1900,1500,1500,1500,1500,1500
1782419625.351,0.02759,0.0252,0.04066,0.05522,0.01,-1.39,-169.45,1900,1500,1500,1500,1500,1500
1782419625.684,0.05744,0.0541,0.04316,0.08994,0.02,-1.39,-169.45,1900,1500,1500,1500,1500,1500
1782419626.019,0.04087,0.05265,0.03454,0.07507,0.01,-1.38,-169.45,1900,1500,1500,1500,1500,1500
1782419626.351,0.04438,0.03884,0.03575,0.06897,0.02,-1.38,-169.45,1900,1500,1500,1500,1500,1500
1782419626.683,0.03512,0.03422,0.03361,0.05945,0.01,-1.37,-169.45,1900,1500,1500,1500,1500,1500
1782419627.019,0.02786,0.02325,0.03314,0.04914,0.01,-1.37,-169.44,1900,1500,1500,1500,1500,1500
1782419627.349,0.03664,0.02553,0.0351,0.0568,-0.0,-1.36,-169.44,1900,1500,1500,1500,1500,1500
1782419627.684,0.05279,0.03411,0.03575,0.07231,-0.01,-1.36,-169.43,1428,1500,1500,1500,1500,1500
1782419628.018,0.04897,0.02658,0.03606,0.06637,-0.01,-1.36,-169.43,1500,1500,1500,1500,1500,1500
1782419628.348,0.03712,0.02791,0.03563,0.05853,-0.02,-1.36,-169.43,1500,1500,1500,1500,1500,1500
1782419628.68,0.02824,0.02942,0.03702,0.05508,-0.03,-1.36,-169.42,1500,1500,1500,1500,1500,1500
1782419629.013,0.02984,0.02969,0.03956,0.05776,-0.03,-1.35,-169.42,1500,1500,1500,1500,1500,1500
1782419629.349,0.02888,0.03877,0.03765,0.06127,-0.03,-1.35,-169.42,1500,1500,1500,1500,1500,1500
1782419629.68,0.02416,0.02686,0.03857,0.05284,-0.03,-1.35,-169.35,1500,1500,1500,1500,1500,1500
1782419630.015,0.03937,0.04025,0.03956,0.06881,-0.03,-1.35,-169.35,1500,1636,1500,1500,1500,1500
1782419630.346,0.02843,0.03058,0.03596,0.0551,-0.04,-1.34,-169.35,1500,1636,1500,1500,1500,1500
1782419630.678,0.03113,0.02666,0.0329,0.05256,-0.05,-1.34,-169.35,1500,1900,1500,1500,1500,1500
1782419631.011,0.02259,0.02812,0.03486,0.05016,-0.05,-1.34,-169.34,1500,1500,1500,1500,1500,1500
1782419631.345,0.02672,0.02399,0.03048,0.0471,-0.05,-1.34,-169.33,1500,1500,1500,1500,1500,1500
1782419631.678,0.02734,0.02563,0.03349,0.05026,-0.05,-1.34,-169.33,1500,1500,1500,1500,1500,1500
1782419632.01,0.02949,0.02406,0.03621,0.05253,-0.06,-1.35,-169.32,1500,1500,1500,1500,1500,1500
1782419632.343,0.02367,0.02287,0.03603,0.0488,-0.06,-1.35,-169.31,1500,1500,1500,1500,1500,1500
1782419632.678,0.02826,0.02685,0.03741,0.05403,-0.07,-1.34,-169.31,1500,1500,1500,1500,1500,1500
1782419633.01,0.02794,0.02529,0.03313,0.05018,-0.07,-1.35,-169.31,1500,1500,1500,1500,1500,1500
1782419633.343,0.02742,0.02444,0.03401,0.05006,-0.08,-1.35,-169.3,1500,1500,1500,1500,1500,1500
1782419633.675,0.02441,0.02504,0.05991,0.06937,-0.08,-1.35,-169.3,1500,1500,1500,1500,1500,1500
1782419634.008,0.0267,0.02925,0.03405,0.05223,-0.09,-1.35,-169.3,1500,1500,1812,1500,1500,1500
1782419634.343,0.02411,0.02621,0.03543,0.05024,-0.1,-1.35,-169.29,1500,1500,1812,1500,1500,1500
1782419634.675,0.02636,0.0257,0.03286,0.04935,-0.1,-1.36,-169.29,1500,1500,1820,1500,1500,1500
1782419635.008,0.02769,0.02824,0.03387,0.05207,-0.1,-1.35,-169.29,1500,1500,1820,1500,1500,1500
1782419635.34,0.02338,0.02759,0.03306,0.049,-0.11,-1.36,-169.29,1500,1500,1820,1500,1500,1500
1782419635.673,0.0272,0.03282,0.03143,0.05296,-0.12,-1.36,-169.28,1500,1500,1820,1500,1500,1500
1782419636.008,0.02663,0.02697,0.03899,0.05437,-0.12,-1.36,-169.28,1500,1500,1100,1500,1500,1500
1782419636.34,0.0331,0.03474,0.03561,0.05976,-0.13,-1.36,-169.28,1500,1500,1100,1500,1500,1500
1782419636.672,0.04537,0.04325,0.03628,0.07242,-0.13,-1.37,-169.28,1500,1500,1500,1500,1500,1500
1782419637.005,0.03469,0.04704,0.04011,0.07089,-0.14,-1.37,-169.28,1500,1500,1500,1500,1500,1500
1782419637.338,0.02845,0.03443,0.05473,0.07065,-0.14,-1.38,-169.28,1500,1500,1500,1500,1500,1500
1782419637.673,0.02473,0.02306,0.0298,0.04507,-0.15,-1.38,-169.28,1500,1500,1500,1468,1500,1500
1782419638.005,0.02432,0.01975,0.03485,0.04687,-0.15,-1.39,-169.28,1500,1500,1500,1100,1500,1500
1782419638.337,0.02485,0.02189,0.03353,0.04713,-0.15,-1.39,-169.28,1500,1500,1500,1100,1500,1500
1782419638.67,0.02495,0.02304,0.03324,0.04752,-0.16,-1.4,-169.28,1500,1500,1500,1100,1500,1500
1782419639.002,0.0259,0.02357,0.03396,0.04878,-0.17,-1.4,-169.28,1500,1500,1500,1100,1500,1500
1782419639.335,0.08411,0.06079,0.3343,0.35004,-0.17,-1.41,-169.27,1500,1500,1500,1100,1500,1500
1782419639.67,0.08054,0.04882,0.20657,0.22703,-0.17,-1.41,-169.27,1500,1500,1500,1500,1500,1500
1782419640.003,0.0858,0.06118,0.20948,0.2345,-0.18,-1.42,-169.18,1500,1500,1500,1500,1500,1500
1782419640.335,0.07974,0.05265,0.20003,0.22168,-0.19,-1.42,-169.17,1500,1500,1500,1500,1500,1500
1782419640.667,0.08235,0.05146,0.2011,0.22332,-0.2,-1.42,-169.17,1500,1500,1500,1500,1500,1500
1782419641.001,0.08201,0.04836,0.18709,0.20992,-0.2,-1.43,-169.17,1500,1500,1500,1500,1100,1500
1782419641.335,0.08128,0.05112,0.18694,0.21016,-0.21,-1.44,-169.16,1500,1500,1500,1500,1100,1500
1782419641.667,0.08034,0.05417,0.19871,0.22108,-0.2,-1.45,-169.16,1500,1500,1500,1500,1100,1500
1782419642.001,0.07908,0.0548,0.20647,0.22779,-0.2,-1.45,-169.16,1500,1500,1500,1500,1500,1500
1782419642.333,0.1073,0.05456,0.23006,0.25965,-0.21,-1.45,-169.16,1500,1500,1500,1500,1500,1500
1782419642.667,0.11166,0.05231,0.23294,0.26357,-0.22,-1.46,-169.16,1500,1500,1500,1500,1500,1500
1782419643.0,0.11163,0.06024,0.23306,0.26534,-0.23,-1.46,-169.16,1500,1500,1500,1500,1500,1500
1782419643.332,0.10853,0.05169,0.22588,0.25588,-0.23,-1.46,-169.16,1500,1500,1500,1500,1500,1500
1782419643.664,0.11089,0.05399,0.22177,0.25376,-0.24,-1.47,-169.15,1500,1500,1500,1500,1500,1500
1782419643.999,0.11094,0.05253,0.22457,0.25593,-0.24,-1.48,-169.16,1500,1500,1500,1500,1500,1500
1782419644.332,0.11767,0.05901,0.23121,0.26606,-0.25,-1.48,-169.16,1500,1500,1500,1500,1500,1500
1782419644.664,0.11607,0.06733,0.22365,0.26081,-0.25,-1.49,-169.15,1500,1500,1500,1500,1500,1500
1782419644.997,0.1135,0.05473,0.23078,0.26294,-0.25,-1.49,-169.15,1500,1500,1500,1524,1500,1500
1782419645.329,0.11747,0.05681,0.22579,0.26078,-0.26,-1.49,-169.15,1500,1500,1500,1524,1500,1500
1782419645.662,0.11404,0.0551,0.22841,0.26118,-0.27,-1.5,-169.15,1500,1500,1500,1100,1500,1500
1782419645.997,0.11335,0.0556,0.21641,0.25054,-0.27,-1.5,-169.15,1500,1500,1500,1100,1500,1500
1782419646.329,0.11589,0.05254,0.21349,0.24854,-0.28,-1.51,-169.15,1500,1500,1500,1100,1500,1500
1782419646.661,0.11199,0.04849,0.21752,0.24942,-0.28,-1.51,-169.14,1500,1500,1500,1100,1500,1500
1782419646.994,0.12121,0.0492,0.22616,0.26127,-0.28,-1.51,-169.15,1500,1500,1500,1500,1500,1500
1782419647.327,0.1135,0.04687,0.1991,0.23392,-0.28,-1.52,-169.15,1500,1500,1500,1500,1500,1500
1782419647.662,0.11309,0.04743,0.19951,0.23419,-0.29,-1.52,-169.15,1500,1500,1500,1500,1500,1500
1782419647.994,0.11887,0.04823,0.21573,0.25099,-0.29,-1.52,-169.15,1500,1500,1500,1500,1500,1500
1782419648.327,0.12072,0.05129,0.20927,0.24698,-0.29,-1.52,-169.14,1500,1500,1500,1500,1500,1500
1782419648.659,0.12649,0.05513,0.22094,0.26049,-0.29,-1.52,-169.14,1500,1500,1500,1500,1500,1500
1782419648.992,0.12273,0.04949,0.20921,0.24755,-0.29,-1.52,-169.14,1500,1500,1500,1500,1500,1500
1782419649.327,0.12874,0.04676,0.22655,0.26474,-0.29,-1.52,-169.14,1500,1500,1500,1500,1500,1500
1782419649.659,0.11934,0.04817,0.23007,0.26362,-0.29,-1.52,-169.14,1500,1500,1500,1500,1500,1500
1782419649.992,0.12684,0.04948,0.22712,0.2648,-0.29,-1.52,-169.14,1500,1500,1500,1500,1100,1500
1782419650.324,0.12364,0.04772,0.2227,0.25915,-0.28,-1.52,-169.13,1500,1500,1500,1500,1100,1500
1782419650.656,0.12039,0.04759,0.21927,0.25464,-0.28,-1.52,-169.13,1500,1500,1500,1500,1100,1500
1782419650.992,0.1187,0.05341,0.22801,0.26255,-0.28,-1.52,-169.13,1500,1500,1500,1500,1500,1500
1782419651.323,0.12186,0.0488,0.22394,0.25958,-0.27,-1.52,-169.14,1500,1500,1500,1500,1500,1500
1782419651.656,0.1333,0.07926,0.71949,0.73601,-0.27,-1.52,-169.14,1500,1500,1500,1500,1500,1500
1782419651.988,0.63126,0.48156,0.32445,0.8577,-0.23,-1.49,-169.15,1500,1500,1500,1500,1500,1500
1782419652.322,1.90305,1.84929,0.66606,2.73589,-0.28,-1.57,-168.17,1500,1500,1500,1500,1500,1500
1782419652.654,0.2501,0.24267,0.39504,0.52678,-0.28,-1.56,-168.26,1500,1500,1500,1500,1500,1500
1782419652.988,0.04698,0.03812,0.0573,0.08333,-0.26,-1.56,-168.26,1500,1500,1500,1500,1500,1500
1782419653.321,0.04426,0.03547,0.03647,0.06744,-0.27,-1.57,-168.3,1500,1500,1500,1500,1500,1500
1782419653.654,0.02767,0.02538,0.03548,0.05165,-0.26,-1.57,-168.3,1500,1500,1500,1500,1500,1500
1782419653.986,0.02063,0.02303,0.03158,0.0442,-0.26,-1.57,-168.3,1500,1500,1500,1500,1500,1500
1782419654.321,0.02228,0.02089,0.03945,0.04989,-0.25,-1.58,-168.31,1500,1500,1500,1500,1500,1500
1782419654.653,0.02432,0.02193,0.03098,0.04508,-0.25,-1.58,-168.29,1500,1500,1500,1500,1500,1500
1782419654.986,0.03944,0.02825,0.25838,0.2629,-0.25,-1.58,-168.29,1500,1500,1500,1500,1500,1500
1782419655.318,0.02579,0.02286,0.09717,0.1031,-0.24,-1.57,-168.3,1500,1500,1500,1500,1500,1500
1782419655.651,0.02183,0.02353,0.03619,0.04838,-0.24,-1.57,-168.31,1500,1500,1500,1500,1500,1500
1782419655.986,0.02658,0.01916,0.03542,0.04825,-0.24,-1.56,-168.32,1500,1500,1500,1500,1500,1500
1782419656.318,0.07717,0.04715,0.22678,0.24414,-0.24,-1.55,-168.28,1500,1500,1500,1500,1500,1500
1782419656.651,0.03734,0.02749,0.04195,0.06252,-0.24,-1.54,-168.29,1500,1500,1500,1500,1500,1500
1782419656.983,0.05924,0.04616,0.03275,0.08193,-0.24,-1.54,-168.29,1500,1500,1500,1500,1500,1500
1782419657.318,0.04865,0.04472,0.03507,0.07481,-0.23,-1.54,-168.29,1500,1500,1500,1500,1500,1500
1782419657.651,0.06052,0.0255,0.05596,0.08628,-0.23,-1.54,-168.29,1500,1500,1500,1500,1500,1500
1782419657.983,0.06195,0.04596,0.16983,0.18653,-0.23,-1.53,-168.3,1500,1500,1500,1500,1500,1500
1782419658.316,0.04509,0.02979,0.06939,0.08795,-0.23,-1.54,-168.3,1500,1500,1500,1500,1500,1500
1782419658.648,0.03913,0.05037,0.03812,0.07431,-0.23,-1.53,-168.3,1500,1500,1500,1500,1500,1500
1782419658.981,0.05449,0.03188,0.03331,0.07138,-0.23,-1.53,-168.3,1500,1500,1500,1500,1500,1500
1782419659.316,0.04531,0.02939,0.03508,0.0644,-0.23,-1.53,-168.3,1500,1500,1500,1500,1500,1500
1782419659.647,0.0417,0.03246,0.0344,0.06305,-0.23,-1.53,-168.31,1500,1500,1500,1500,1500,1500
1782419659.981,0.0376,0.03773,0.03699,0.06485,-0.23,-1.53,-168.31,1500,1500,1500,1500,1500,1500
1782419660.313,0.03981,0.04472,0.03296,0.06834,-0.23,-1.53,-168.31,1500,1500,1500,1500,1500,1500
1782419660.645,0.04911,0.05138,0.03156,0.07777,-0.23,-1.53,-168.31,1500,1500,1500,1500,1500,1500
1782419660.978,0.03639,0.03297,0.03379,0.0596,-0.23,-1.53,-168.32,1500,1500,1500,1500,1500,1500
1782419661.313,0.04083,0.04332,0.03287,0.068,-0.22,-1.52,-168.32,1500,1500,1500,1500,1500,1500
1782419661.645,0.03881,0.03282,0.03463,0.0615,-0.22,-1.52,-168.32,1500,1500,1500,1500,1500,1500
1782419661.978,0.05189,0.0364,0.03702,0.0734,-0.22,-1.52,-168.33,1500,1500,1500,1500,1500,1500
1782419662.31,0.05651,0.04354,0.03389,0.07898,-0.22,-1.53,-168.32,1500,1500,1500,1500,1500,1500
1782419662.645,0.03995,0.03234,0.03504,0.0622,-0.22,-1.53,-168.33,1500,1500,1500,1500,1500,1500
1782419662.978,0.05389,0.04518,0.0346,0.07837,-0.22,-1.53,-168.33,1500,1500,1500,1500,1500,1500
1782419663.31,0.05392,0.03,0.03488,0.07088,-0.21,-1.53,-168.33,1500,1500,1500,1500,1500,1500
1782419663.642,0.05036,0.04481,0.03686,0.07682,-0.21,-1.53,-168.33,1500,1500,1500,1500,1500,1500
1782419663.975,0.0442,0.03413,0.04612,0.07242,-0.2,-1.53,-168.33,1500,1500,1500,1500,1500,1500
1782419664.31,0.05324,0.03277,0.04765,0.0786,-0.2,-1.53,-168.33,1500,1500,1500,1500,1500,1500
1782419664.642,0.05199,0.03629,0.03887,0.07437,-0.2,-1.53,-168.33,1500,1500,1500,1500,1500,1500
1782419664.975,0.05064,0.03739,0.03855,0.07382,-0.2,-1.52,-168.32,1500,1500,1500,1500,1500,1500
1782419665.307,0.05737,0.04053,0.04579,0.08386,-0.2,-1.52,-168.33,1500,1500,1500,1500,1500,1500
1782419665.642,0.05171,0.033,0.02988,0.06823,-0.2,-1.52,-168.34,1500,1500,1500,1500,1500,1500
1782419665.975,0.3172,0.21982,0.1042,0.39974,-0.24,-1.51,-168.33,1500,1500,1500,1500,1500,1500
1782419666.307,0.29107,0.39246,1.57777,1.6517,-0.27,-1.51,-168.63,1500,1500,1500,1500,1500,1500
1782419666.641,0.04674,0.05561,0.20347,0.21605,-0.29,-1.51,-168.76,1500,1500,1500,1500,1500,1500
1782419666.972,0.03845,0.06027,0.04682,0.08546,-0.28,-1.51,-168.88,1500,1500,1500,1500,1500,1500
1782419667.305,0.02833,0.0283,0.0314,0.05089,-0.28,-1.5,-168.87,1500,1500,1500,1500,1500,1500
1782419667.641,0.02451,0.02742,0.08009,0.08813,-0.26,-1.49,-168.86,1500,1500,1500,1500,1500,1500
1782419667.972,0.13078,0.07667,0.05062,0.15983,-0.26,-1.48,-168.83,1500,1500,1500,1500,1500,1500
1782419668.305,0.03909,0.03822,0.03131,0.063,-0.26,-1.48,-168.74,1500,1500,1500,1500,1500,1500
1782419668.639,0.02884,0.03666,0.03521,0.05844,-0.25,-1.48,-168.73,1500,1500,1500,1500,1500,1500
1782419668.97,0.29152,0.21699,0.04752,0.36651,-0.24,-1.47,-168.67,1500,1500,1500,1500,1500,1500
1782419669.302,0.082,0.09789,0.02868,0.13088,-0.17,-1.5,-168.43,1500,1500,1500,1500,1500,1500
1782419669.636,0.02556,0.0275,0.04709,0.06023,-0.16,-1.5,-168.41,1500,1500,1500,1500,1500,1500
1782419669.97,0.02149,0.02513,0.03434,0.04767,-0.17,-1.5,-168.4,1500,1500,1500,1500,1500,1500
1782419670.304,0.03178,0.02415,0.04683,0.06153,-0.17,-1.51,-168.4,1500,1500,1500,1500,1500,1500
1782419670.635,0.04836,0.03483,0.03227,0.06778,-0.16,-1.5,-168.39,1500,1500,1500,1500,1500,1500
