timestamp,vib_x,vib_y,vib_z,vib_total,roll_deg,pitch_deg,yaw_deg,servo1,servo2,servo3,servo4,servo5,servo6
1782422349.056,0.0385,0.02928,0.06612,0.08193,-0.21,-1.6,162.06,1500,1500,1500,1500,1500,1500
1782422349.388,0.04184,0.03929,0.0709,0.09122,-0.2,-1.59,162.06,1500,1500,1500,1500,1500,1500
1782422349.721,0.03578,0.03173,0.07038,0.08509,-0.2,-1.59,162.06,1500,1500,1500,1500,1500,1500
1782422350.053,0.0361,0.03298,0.07181,0.08688,-0.2,-1.58,162.06,1500,1500,1500,1500,1500,1500
1782422350.387,0.03827,0.0357,0.06997,0.08738,-0.21,-1.57,162.05,1588,1500,1500,1500,1500,1500
1782422350.721,0.04179,0.03244,0.08438,0.0996,-0.21,-1.57,162.05,1708,1500,1500,1500,1500,1500
1782422351.053,0.0705,0.05069,0.16091,0.18284,-0.21,-1.56,162.05,1708,1500,1500,1500,1500,1500
1782422351.388,0.07192,0.0492,0.14485,0.16904,-0.2,-1.56,162.05,1820,1500,1500,1500,1500,1500
1782422351.718,0.07702,0.05656,0.1354,0.16573,-0.2,-1.55,162.05,1820,1500,1500,1500,1500,1500
1782422352.051,0.07043,0.05003,0.12697,0.15357,-0.21,-1.55,162.06,1820,1500,1500,1500,1500,1500
1782422352.386,0.07792,0.04978,0.14751,0.17409,-0.2,-1.54,162.06,1900,1500,1500,1500,1500,1500
1782422352.72,0.07684,0.05523,0.15154,0.17866,-0.2,-1.53,162.06,1900,1500,1500,1500,1500,1500
1782422353.05,0.07089,0.04985,0.13633,0.16154,-0.21,-1.53,162.06,1900,1500,1500,1500,1500,1500
1782422353.385,0.06445,0.04808,0.1206,0.14495,-0.2,-1.53,162.05,1900,1500,1500,1500,1500,1500
1782422353.718,0.06903,0.04587,0.13396,0.15753,-0.21,-1.53,162.06,1900,1500,1500,1500,1500,1500
1782422354.05,0.07754,0.0486,0.15,0.17571,-0.21,-1.52,162.05,1900,1500,1500,1500,1500,1500
1782422354.385,0.0696,0.0487,0.14136,0.16492,-0.21,-1.52,162.05,1900,1500,1500,1500,1500,1500
1782422354.718,0.0366,0.03,0.06169,0.07775,-0.21,-1.51,162.05,1500,1500,1500,1500,1500,1500
1782422355.047,0.02852,0.02596,0.06552,0.07603,-0.21,-1.51,162.05,1500,1500,1500,1500,1500,1500
1782422355.385,0.02799,0.03143,0.04611,0.06243,-0.21,-1.51,162.04,1500,1500,1500,1500,1500,1500
