timestamp,vib_x,vib_y,vib_z,vib_total,roll_deg,pitch_deg,yaw_deg,servo1,servo2,servo3,servo4,servo5,servo6
1782422298.111,0.03306,0.02434,0.0566,0.06992,-0.21,-1.55,162.61,1500,1500,1500,1500,1500,1500
1782422298.442,0.02873,0.02544,0.05763,0.06924,-0.21,-1.55,162.61,1500,1500,1500,1500,1500,1500
1782422298.775,0.03045,0.02415,0.05501,0.06736,-0.21,-1.54,162.61,1500,1500,1500,1500,1500,1500
1782422299.111,0.0287,0.02327,0.0527,0.06436,-0.21,-1.54,162.61,1500,1500,1500,1500,1500,1500
1782422299.442,0.03024,0.0244,0.05524,0.06754,-0.21,-1.54,162.61,1500,1500,1500,1500,1500,1500
1782422299.775,0.02645,0.03017,0.05477,0.06789,-0.22,-1.53,162.62,1500,1500,1500,1500,1500,1500
1782422300.107,0.02724,0.02341,0.05511,0.06578,-0.22,-1.52,162.62,1500,1500,1500,1500,1500,1500
1782422300.44,0.03595,0.03105,0.06069,0.07707,-0.22,-1.52,162.63,1484,1500,1500,1500,1500,1500
1782422300.775,0.04055,0.03437,0.07872,0.09499,-0.22,-1.52,162.63,1668,1500,1500,1500,1500,1500
1782422301.107,0.0407,0.03046,0.07549,0.09101,-0.23,-1.51,162.64,1668,1500,1500,1500,1500,1500
1782422301.44,0.04229,0.03208,0.08601,0.10107,-0.23,-1.51,162.64,1668,1500,1500,1500,1500,1500
1782422301.773,0.04081,0.02786,0.08046,0.09442,-0.23,-1.5,162.65,1668,1500,1500,1500,1500,1500
1782422302.105,0.044,0.03245,0.0803,0.09714,-0.23,-1.49,162.65,1668,1500,1500,1500,1500,1500
1782422302.437,0.04405,0.03652,0.08081,0.09902,-0.23,-1.49,162.66,1668,1500,1500,1500,1500,1500
1782422302.772,0.04087,0.02977,0.0796,0.0943,-0.24,-1.48,162.66,1668,1500,1500,1500,1500,1500
1782422303.105,0.04104,0.03277,0.07953,0.09531,-0.24,-1.48,162.67,1668,1500,1500,1500,1500,1500
1782422303.438,0.04229,0.03185,0.08108,0.09683,-0.24,-1.47,162.68,1668,1500,1500,1500,1500,1500
1782422303.77,0.03837,0.02991,0.07909,0.09285,-0.24,-1.47,162.68,1668,1500,1500,1500,1500,1500
