timestamp,vib_x,vib_y,vib_z,vib_total,roll_deg,pitch_deg,yaw_deg,servo1,servo2,servo3,servo4,servo5,servo6
1782422269.14,0.0338,0.03187,0.05562,0.07247,-0.2,-1.49,162.49,1500,1500,1500,1500,1500,1500
1782422269.476,0.03953,0.03418,0.05634,0.07685,-0.2,-1.49,162.5,1500,1500,1500,1500,1500,1500
1782422269.807,0.03415,0.03592,0.05135,0.07136,-0.21,-1.49,162.52,1500,1500,1500,1500,1500,1500
1782422270.141,0.03218,0.03288,0.04814,0.06659,-0.22,-1.49,162.53,1500,1500,1500,1500,1500,1500
1782422270.473,0.0293,0.03013,0.05565,0.06973,-0.22,-1.48,162.53,1500,1500,1500,1500,1500,1500
1782422270.808,0.0357,0.03114,0.04932,0.06839,-0.23,-1.49,162.55,1500,1500,1500,1500,1500,1500
1782422271.141,0.03037,0.02954,0.05276,0.06767,-0.23,-1.49,162.55,1500,1500,1500,1500,1500,1500
1782422271.473,0.03431,0.03066,0.05366,0.07068,-0.24,-1.49,162.56,1500,1500,1500,1500,1500,1500
1782422271.805,0.0386,0.0341,0.06034,0.07934,-0.24,-1.48,162.56,1500,1500,1500,1500,1500,1500
1782422272.138,0.03001,0.02852,0.05305,0.06729,-0.24,-1.48,162.56,1500,1500,1500,1500,1500,1500
1782422272.473,0.0338,0.02434,0.05439,0.0685,-0.25,-1.49,162.57,1500,1500,1500,1500,1500,1500
1782422272.805,0.0354,0.03767,0.05257,0.07373,-0.25,-1.49,162.58,1500,1500,1500,1500,1500,1500
1782422273.138,0.03025,0.02883,0.0548,0.06891,-0.25,-1.49,162.58,1500,1500,1500,1500,1500,1500
1782422273.47,0.02885,0.03193,0.05398,0.06903,-0.26,-1.49,162.59,1500,1500,1500,1500,1500,1500
1782422273.803,0.02901,0.02557,0.05784,0.06958,-0.26,-1.49,162.59,1500,1500,1500,1500,1500,1500
1782422274.138,0.02994,0.02501,0.0539,0.06654,-0.26,-1.49,162.6,1500,1500,1500,1500,1500,1500
1782422274.469,0.02931,0.02301,0.05546,0.06682,-0.26,-1.48,162.6,1500,1500,1500,1500,1500,1500
1782422274.802,0.02768,0.02443,0.04846,0.06092,-0.26,-1.48,162.6,1500,1500,1500,1500,1500,1500
1782422275.134,0.02691,0.02306,0.04989,0.06119,-0.26,-1.49,162.61,1500,1500,1500,1500,1500,1500
1782422275.467,0.02847,0.031,0.05166,0.06663,-0.26,-1.49,162.61,1500,1500,1500,1500,1500,1500
1782422275.802,0.02656,0.0259,0.05432,0.06578,-0.26,-1.49,162.61,1500,1500,1500,1500,1500,1500
1782422276.134,0.02985,0.02508,0.05042,0.06373,-0.26,-1.49,162.62,1500,1500,1500,1500,1500,1500
1782422276.467,0.02944,0.02468,0.05093,0.06379,-0.27,-1.49,162.62,1500,1500,1500,1500,1500,1500
1782422276.799,0.02859,0.02646,0.05726,0.06926,-0.27,-1.49,162.62,1500,1500,1500,1500,1500,1500
1782422277.132,0.02885,0.0252,0.05844,0.06987,-0.27,-1.49,162.62,1500,1500,1500,1500,1500,1500
1782422277.467,0.0326,0.02341,0.05461,0.06777,-0.27,-1.49,162.63,1500,1500,1500,1500,1500,1500
1782422277.798,0.02719,0.0241,0.05355,0.06471,-0.27,-1.5,162.63,1500,1500,1500,1500,1500,1500
1782422278.133,0.03702,0.02895,0.05199,0.07008,-0.27,-1.5,162.63,1500,1500,1500,1500,1500,1500
1782422278.465,0.02958,0.0251,0.05176,0.06469,-0.27,-1.5,162.63,1500,1500,1500,1500,1500,1500
1782422278.797,0.02832,0.02593,0.05841,0.0699,-0.27,-1.5,162.63,1500,1500,1500,1500,1500,1500
1782422279.132,0.02947,0.02603,0.06231,0.07368,-0.27,-1.51,162.63,1500,1500,1500,1500,1500,1500
1782422279.465,0.02792,0.02343,0.05281,0.06417,-0.27,-1.51,162.63,1500,1500,1500,1500,1500,1500
