timestamp,vib_x,vib_y,vib_z,vib_total,roll_deg,pitch_deg,yaw_deg,servo1,servo2,servo3,servo4,servo5,servo6
1782422325.081,0.02246,0.02035,0.04406,0.05348,-0.23,-1.57,162.67,1500,1500,1500,1500,1500,1500
1782422325.413,0.02481,0.02488,0.04654,0.05832,-0.23,-1.58,162.66,1500,1500,1500,1500,1500,1500
1782422325.748,0.07845,0.05141,0.1851,0.20751,-0.23,-1.59,162.65,1852,1500,1500,1500,1500,1500
1782422326.08,0.06521,0.05527,0.11843,0.14606,-0.23,-1.59,162.64,1852,1500,1500,1500,1500,1500
1782422326.413,0.05522,0.04131,0.10456,0.12526,-0.23,-1.6,162.62,1756,1500,1500,1500,1500,1500
1782422326.745,0.05077,0.03843,0.09139,0.11138,-0.23,-1.6,162.61,1756,1500,1500,1500,1500,1500
1782422327.078,0.0537,0.04015,0.09943,0.11993,-0.23,-1.61,162.6,1756,1500,1500,1500,1500,1500
1782422327.411,0.05258,0.04091,0.09607,0.11691,-0.23,-1.61,162.59,1756,1500,1500,1500,1500,1500
1782422327.745,0.05589,0.03774,0.10226,0.1225,-0.23,-1.62,162.58,1756,1500,1500,1500,1500,1500
1782422328.078,0.05078,0.03622,0.09391,0.11274,-0.23,-1.63,162.58,1756,1500,1500,1500,1500,1500
1782422328.412,0.06131,0.04496,0.10894,0.13284,-0.23,-1.63,162.56,1756,1500,1500,1500,1500,1500
1782422328.742,0.07008,0.05192,0.13001,0.15655,-0.23,-1.64,162.55,1796,1500,1500,1500,1500,1500
1782422329.078,0.05539,0.04077,0.09919,0.12071,-0.23,-1.64,162.54,1796,1500,1500,1500,1500,1500
1782422329.412,0.05498,0.04292,0.09594,0.11861,-0.23,-1.65,162.53,1756,1500,1500,1500,1500,1500
1782422329.742,0.05814,0.04301,0.10105,0.12426,-0.23,-1.65,162.53,1756,1500,1500,1500,1500,1500
1782422330.075,0.04903,0.03878,0.08659,0.1068,-0.23,-1.65,162.52,1756,1500,1500,1500,1500,1500
1782422330.409,0.05327,0.04466,0.09163,0.11501,-0.23,-1.66,162.51,1748,1500,1500,1500,1500,1500
1782422330.742,0.0527,0.04159,0.09357,0.11516,-0.23,-1.66,162.5,1748,1500,1500,1500,1500,1500
